FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
X0405093,皓仁預拌企業有限公司,2015年第3季,0,公噸,1.672,公噸,0,公噸,0,公噸,完成申報
V7900124,兄弟砂石場,2015年第3季,0,公噸,2.189,公噸,0,公噸,0,公噸,完成申報
V75A4888,瑞晟砂石有限公司,2015年第3季,0,公噸,6.577,公噸,0,公噸,0,公噸,完成補件
V7504999,益源砂石有限公司,2015年第3季,0,公噸,0.394,公噸,0,公噸,0,公噸,完成申報
V7500660,興東興業股份有限公司,2015年第3季,0,公噸,5.453,公噸,0,公噸,0,公噸,完成申報
U9601032,鳳勝實業股份有限公司壽豐廠,2015年第3季,0,公噸,22,公噸,0,公噸,0,公噸,完成季登錄確認
U9303371,展信實業有限公司,2015年第3季,0,公噸,0.585,公噸,0,公噸,0,公噸,完成季登錄確認
U92A0024,立得砂石股份有限公司,2015年第3季,0,公噸,0.87,公噸,0,公噸,0,公噸,完成季登錄確認
U9100987,鳳勝實業股份有限公司花蓮廠,2015年第3季,0,公噸,0.14,公噸,0,公噸,0,公噸,完成季登錄確認
T5100031,仕和企業股份有限公司鹽埔碎石場,2015年第3季,0,公噸,24.195,公噸,0,公噸,0,公噸,完成申報
T4201593,鳳勝實業股份有限公司屏東廠,2015年第3季,0,公噸,1.003,公噸,0,公噸,0,公噸,完成申報
S3004131,古板企業有限公司,2015年第3季,0,公噸,9.079,公噸,0,公噸,0,公噸,完成申報
R97A0486,順通聯合開發工程股份有限公司官田廠,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
R8801011,欣龍實業股份有限公司佳里廠,2015年第3季,0,公噸,4.07,公噸,0,公噸,0,公噸,完成季登錄確認
R1404970,環球水泥股份有限公司永康預拌混凝土場,2015年第3季,0,公噸,2.6,公噸,0,公噸,0,公噸,完成季登錄確認
R0600281,丁丁有限公司預拌混凝土廠,2015年第3季,0,公噸,9.639,公噸,0,公噸,0,公噸,完成季登錄確認
H4708221,銘宏億企業有限公司,2015年第3季,0,公噸,1.402,公噸,0,公噸,0,公噸,完成申報
H4707993,泰暘砂石有限公司,2015年第3季,0,公噸,4.57,公噸,0,公噸,0,公噸,完成申報
H46A7315,昱霖金屬有限公司,2015年第3季,0,公噸,0.557,公噸,0,公噸,0,公噸,完成申報
E5604143,嘉信遊艇股份有限公司,2015年第3季,0,公噸,0.005,公噸,0,公噸,0,公噸,完成申報
D9100830,明祥馨企業有限公司二場,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
D9100821,明祥馨企業有限公司一場,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
D1405918,亞東預拌混凝土股份有限公司永康廠,2015年第3季,0,公噸,2.456,公噸,0,公噸,0,公噸,完成季登錄確認
B9400295,亞東預拌混凝土股份有限公司潭子廠,2015年第3季,0,公噸,5.928,公噸,0,公噸,0,公噸,完成申報
B2303275,亞東預拌混凝土股份有限公司台中廠,2015年第3季,0,公噸,2.648,公噸,0,公噸,0,公噸,完成申報
M36A1374,益昌砂石企業股份有限公司,2015年第2季,0,公噸,0.589,公噸,0,公噸,0,公噸,完成申報
D9100830,明祥馨企業有限公司二場,2015年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
D9100821,明祥馨企業有限公司一場,2015年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
D1405918,亞東預拌混凝土股份有限公司永康廠,2015年第2季,0,公噸,2.174,公噸,0,公噸,0,公噸,完成季登錄確認
D9100830,明祥馨企業有限公司二場,2015年第1季,0,公噸,0.266,公噸,0,公噸,0,公噸,完成季登錄確認
D9100821,明祥馨企業有限公司一場,2015年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
