FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
T6403120,興磊砂石有限公司,2015年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T57A0416,翔明國際股份有限公司,2015年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T5603779,高鉅企業行(與T5603662重複管編),2015年第4季,0,公噸,8.998,公噸,0,公噸,0,公噸,完成申報
T5603484,廣榮開發企業有限公司,2015年第4季,0,公噸,9.013,公噸,0,公噸,0,公噸,完成申報
T52A0718,眾宏實業有限公司,2015年第4季,0,公噸,1.078,公噸,0,公噸,0,公噸,完成申報
T52A0708,元祖砂石有限公司,2015年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T52A0679,九地企業有限公司,2015年第4季,0,公噸,0.962,公噸,0,公噸,0,公噸,完成申報
T51A0436,益磊砂石行,2015年第4季,0,公噸,12.816,公噸,0,公噸,0,公噸,完成申報
T51A0327,柏元企業行,2015年第4季,0,公噸,8.093,公噸,0,公噸,0,公噸,完成申報
T5100031,仕和企業股份有限公司鹽埔碎石場,2015年第4季,0,公噸,6.114,公噸,0,公噸,0,公噸,完成申報
T5006243,富喬砂石有限公司,2015年第4季,0,公噸,2.993,公噸,0,公噸,0,公噸,完成申報
T5001944,協震有限公司屏東廠,2015年第4季,0,公噸,38.561,公噸,0,公噸,0,公噸,完成申報
T5001720,富晟企業行,2015年第4季,0,公噸,4.918,公噸,0,公噸,0,公噸,完成申報
T5000134,廣豐工業股份有限公司里港廠,2015年第4季,0,公噸,23.605,公噸,0,公噸,0,公噸,完成申報
T48A0041,大陸砂石行有限公司麟洛廠,2015年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T42A2691,玖峰開發股份有限公司,2015年第4季,0,公噸,0.072,公噸,0,公噸,0,公噸,完成申報
T4201593,鳳勝實業股份有限公司屏東廠,2015年第4季,0,公噸,1.161,公噸,0,公噸,0,公噸,完成申報
S2202464,瑞利企業股份有限公司,2015年第4季,1.071,公噸,0,公噸,0,公噸,0.088,公噸,完成核算
Q68A1860,台灣糖業股份有限公司生物科技事業部大林生技廠食品廠區,2015年第4季,0.001,公噸,0,公噸,0.006,公噸,0.131,公噸,完成核算
P52A1229,利興水泥製品股份有限公司,2015年第4季,0,公噸,0,公噸,0.171,公噸,0.119,公噸,完成核算
O17L2435,嘉晶電子股份有限公司磊新廠,2015年第4季,0,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
O17L1714,晶元光電股份有限公司R1廠,2015年第4季,0.005,公噸,0,公噸,0.074,公噸,0.244,公噸,完成核算
M33A6131,三晃股份有限公司南崗廠,2015年第4季,0.543,公噸,1.099,公噸,0.12,公噸,0.862,公噸,完成核算
J5800692,怡星企業股份有限公司,2015年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
H51B2321,三晃股份有限公司,2015年第4季,0,公噸,0.112,公噸,0,公噸,0,公噸,完成季登錄確認
H46A3571,三禧企業有限公司,2015年第4季,0.031,公噸,0,公噸,0,公噸,0,公噸,完成核算
H4635205,金格食品股份有限公司,2015年第4季,0,公噸,0,公噸,0.304,公噸,0.211,公噸,完成核算
G3200205,合山實業股份有限公司,2015年第4季,0,公噸,1.482,公噸,0,公噸,0,公噸,完成季登錄確認
F15A6106,岱庚企業股份有限公司,2015年第4季,0.076,公噸,0,公噸,0,公噸,0,公噸,完成核算
D32B4134,穎暉機械股份有限公司,2015年第4季,1.17,公噸,0,公噸,0,公噸,0,公噸,完成核算
D1004975,立富鑫股份有限公司,2015年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
B9801041,大化實業股份有限公司,2015年第4季,0.258,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9202093,川智股份有限公司,2015年第4季,0.618,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9104029,志陽工業股份有限公司,2015年第4季,0.486,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8802151,三晃股份有限公司大甲廠,2015年第4季,0,公噸,0.132,公噸,0,公噸,0,公噸,完成季登錄確認
B8603998,光軒科技塑膠股份有限公司一廠,2015年第4季,0.046,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8603890,利達塑膠廠,2015年第4季,0.007,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8603881,仟百合工業社,2015年第4季,0.021,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8603694,藝昌實業股份有限公司,2015年第4季,0.012,公噸,0,公噸,0,公噸,0,公噸,完成核算
B24B7118,國慶化學股份有限公司台中廠,2015年第4季,0,公噸,0.012,公噸,0,公噸,0,公噸,完成季登錄確認
B23B3824,京漾生技事業股份有限公司,2015年第4季,0.026,公噸,0,公噸,0,公噸,0,公噸,完成核算
B21A1247,通文順氣動馬達製造有限公司,2015年第4季,0.004,公噸,0,公噸,0,公噸,0,公噸,完成核算
B0301844,台富動物處理有限公司,2015年第4季,0,公噸,0,公噸,0,公噸,0.002,公噸,完成核算
B0301228,員合有限公司二廠,2015年第4季,0.021,公噸,0,公噸,0.006,公噸,0.014,公噸,完成核算
B0101291,永山宏興業有限公司,2015年第4季,0.015,公噸,0,公噸,0.069,公噸,0.048,公噸,完成核算
B0002739,羅杰塑膠科技股份有限公司,2015年第4季,0.156,公噸,0,公噸,0.2,公噸,0.138,公噸,完成核算
T6403120,興磊砂石有限公司,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T57A0416,翔明國際股份有限公司,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T51A0327,柏元企業行,2015年第3季,0,公噸,5.844,公噸,0,公噸,0,公噸,完成申報
T5006243,富喬砂石有限公司,2015年第3季,0,公噸,3.42,公噸,0,公噸,0,公噸,完成申報
T5001944,協震有限公司屏東廠,2015年第3季,0,公噸,26.44,公噸,0,公噸,0,公噸,完成申報
T5001720,富晟企業行,2015年第3季,0,公噸,7.179,公噸,0,公噸,0,公噸,完成申報
T5000134,廣豐工業股份有限公司里港廠,2015年第3季,0,公噸,23.86,公噸,0,公噸,0,公噸,完成申報
T48A0041,大陸砂石行有限公司麟洛廠,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
T42A2691,玖峰開發股份有限公司,2015年第3季,0,公噸,0.072,公噸,0,公噸,0,公噸,完成申報
S2202464,瑞利企業股份有限公司,2015年第3季,0.712,公噸,0,公噸,0,公噸,0.074,公噸,完成核算
Q68A1860,台灣糖業股份有限公司生物科技事業部大林生技廠食品廠區,2015年第3季,0.001,公噸,0,公噸,0.004,公噸,0.11,公噸,完成核算
P52A1229,利興水泥製品股份有限公司,2015年第3季,0,公噸,0,公噸,0.086,公噸,0.059,公噸,完成核算
O17L2435,嘉晶電子股份有限公司磊新廠,2015年第3季,0.015,公噸,0,公噸,0,公噸,0.001,公噸,完成核算
O17L1714,晶元光電股份有限公司R1廠,2015年第3季,0,公噸,0,公噸,0.076,公噸,0.249,公噸,完成核算
M33A6131,三晃股份有限公司南崗廠,2015年第3季,0.682,公噸,0.283,公噸,1.176,公噸,2.496,公噸,完成核算
L89A0249,笠毅工業股份有限公司,2015年第3季,0.811,公噸,0,公噸,0,公噸,0,公噸,完成核算
L0411341,華富工業有限公司,2015年第3季,0,公噸,0,公噸,0.01,公噸,0.007,公噸,完成核算
J5800692,怡星企業股份有限公司,2015年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成季登錄確認
I26B5278,聖荷西旅館有限公司,2015年第3季,0,公噸,0,公噸,0,公噸,0.002,公噸,完成核算
H51B2321,三晃股份有限公司,2015年第3季,0,公噸,0.113,公噸,0,公噸,0,公噸,完成季登錄確認
H46A3571,三禧企業有限公司,2015年第3季,0.027,公噸,0,公噸,0,公噸,0,公噸,完成核算
