MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorType,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
U10312,志學國小電磁場量測,2015-09-14,花蓮縣,壽豐鄉,志學村中正路120巷10號,91,學校極低頻設施,1.2,mG,True
P10195,台78快速道路虎尾段旁_手機基地台,2015-10-19,雲林縣,虎尾鎮,台78快速道路虎尾段旁_手機基地台,11,手機基地臺,4.9E-07,mW/cm<sup>2</sup>,True
A01029,信義區松仁路90號旁中央分格島路燈—無線網路電磁波量測,2015-10-06,臺北市,信義區,松仁路90號,14,無線區域網路(Wi-Fi),0.002435,mW/cm<sup>2</sup>,True
Q10195,民雄鄉三興村神農路健康快樂飲食餐廳協前方,2015-09-30,嘉義縣,民雄鄉,三興村神農路健康快樂飲食餐廳協前方,24,落地型變壓器,1.302,mG,True
Q10194,民雄鄉三興村神農路晨間廚房前,2015-09-30,嘉義縣,民雄鄉,三興村神農路晨間廚房前,24,落地型變壓器,3.413,mG,True
Q10192,民雄鄉中和村社溝10之21號旁,2015-10-28,嘉義縣,民雄鄉,中和村社溝10之21號旁,11,手機基地臺,0.00123,mW/cm<sup>2</sup>,True
Q10191,新港鄉潭大村大客90號對面,2015-09-30,嘉義縣,新港鄉,潭大村大客90號對面,11,手機基地臺,0.00073,mW/cm<sup>2</sup>,True
Q10190,阿里山鄉香林村1號後方,2015-09-25,嘉義縣,阿里山鄉,香林村1號後方,11,手機基地臺,0.0008,mW/cm<sup>2</sup>,True
Q10189,水上鄉內溪村內溪洲46之18號對面巷子,2015-10-28,嘉義縣,水上鄉,內溪村內溪洲46之18號對面巷子,11,手機基地臺,0.00071,mW/cm<sup>2</sup>,True
Q10188,新港鄉157縣道15.5公里處,2015-09-03,嘉義縣,新港鄉,157縣道15.5公里處,11,手機基地臺,0.00071,mW/cm<sup>2</sup>,True
P10190,崙背河堤道路旁_手機基地台,2015-10-16,雲林縣,崙背鄉,河堤道路旁,11,手機基地臺,6E-08,mW/cm<sup>2</sup>,True
P10194,水林縣道164路旁_手機基地台,2015-10-16,雲林縣,水林鄉,縣道164號路旁,11,手機基地臺,5.6E-07,mW/cm<sup>2</sup>,True
P10192,崙背大有產業道路_手機基地台,2015-10-16,雲林縣,崙背鄉,大有產業道路,11,手機基地臺,1.7E-07,mW/cm<sup>2</sup>,True
P10191,崙背156縣道旁_手機基地台,2015-10-16,雲林縣,崙背鄉,156縣道旁,11,手機基地臺,9E-08,mW/cm<sup>2</sup>,True
P10186,土庫民族路中油加油站前方_手機基地台,2015-10-15,雲林縣,土庫鎮,土庫民族路中油加油站前方,11,手機基地臺,1.6E-07,mW/cm<sup>2</sup>,True
