Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",花東,30 - 50,,1 - 2,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",宜蘭,30 - 50,,1 - 3,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",高屏,60 - 80,臭氧,4 - 7,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",雲嘉南,60 - 80,臭氧,4 - 7,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",中部,60 - 80,臭氧,3 - 5,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",竹苗,45 - 65,臭氧,2 - 3,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",北部,40 - 60,臭氧,1 - 3,2016-03-05,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",花東,30 - 50,,1 - 2,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",宜蘭,30 - 50,,1 - 3,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",高屏,60 - 80,臭氧,4 - 7,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",雲嘉南,60 - 80,懸浮微粒,4 - 7,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",中部,55 - 75,懸浮微粒,3 - 5,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",竹苗,45 - 65,臭氧,2 - 3,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",北部,40 - 60,臭氧,1 - 3,2016-03-04,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",澎湖,40 - 60,臭氧,1 - 3,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",金門,50 - 70,臭氧,2 - 4,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",馬祖,40 - 60,臭氧,1 - 3,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",花東,30 - 50,,1 - 3,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",宜蘭,30 - 50,,1 - 3,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",高屏,60 - 80,懸浮微粒,4 - 7,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",雲嘉南,60 - 80,懸浮微粒,4 - 7,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",中部,55 - 75,懸浮微粒,3 - 5,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",竹苗,50 - 70,臭氧,2 - 3,2016-03-03,2016-03-02 16:59
"1.3日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧。\r2.3日雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。\r3.4日、5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒及臭氧；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。",北部,40 - 60,臭氧,1 - 3,2016-03-03,2016-03-02 16:59
