Content,Area,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",花東,30 - 50,,10 - 30,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",宜蘭,30 - 50,,10 - 30,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",高屏,55 - 75,,40 - 60,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",雲嘉南,55 - 75,,30 - 50,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",中部,50 - 70,,30 - 50,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",竹苗,40 - 60,,10 - 30,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",北部,45 - 65,,15 - 35,2016-03-21,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",花東,40 - 60,,10 - 30,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",宜蘭,45 - 65,,20 - 40,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",高屏,70 - 90,,55 - 75,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",雲嘉南,65 - 85,,50 - 70,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",中部,60 - 80,,45 - 65,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",竹苗,50 - 70,,30 - 50,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",北部,50 - 70,,35 - 55,2016-03-20,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",澎湖,50 - 70,,25 - 45,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",金門,55 - 75,,35 - 55,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",馬祖,50 - 70,,30 - 50,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",花東,30 - 50,,15 - 35,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",宜蘭,40 - 60,,20 - 40,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",高屏,70 - 90,,55 - 75,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",雲嘉南,65 - 85,,45 - 65,2016-03-19,2016-03-19 10:30
"1.19日全臺各地及外島PSI為良好至普通等級，指標污染物為懸浮微粒；馬祖地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.20、21日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。",中部,60 - 80,,40 - 60,2016-03-19,2016-03-19 10:30
