SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,33,,良好,2,0.09,40,18,13,1.5,5.4,257,,2.64,1.13,2016-07-13 15:00
三重,新北市,52,懸浮微粒,普通,5.2,2.03,,72,24,49,,,2,156.66,107.2,2016-07-13 15:00
三義,苗栗縣,21,,良好,,,,,,,4.1,213,,,,2016-07-13 15:00
土城,新北市,36,,良好,5.9,0.3,43,36,15,21,1.4,243,2,24.63,3.21,2016-07-13 15:00
士林,臺北市,36,,良好,2.7,0.17,44,37,13,8.9,3.1,282,2,8.79,-.06,2016-07-13 15:00
大同,臺北市,45,,良好,3,1.67,,42,11,36,,,2,64.88,29.12,2016-07-13 15:00
大里,臺中市,27,,良好,0.9,0.14,32,17,,4.3,3.5,271,1,6.05,1.73,2016-07-13 15:00
大園,桃園市,33,,良好,2.1,0.1,34,30,18,3.8,7,234,1,4.7,.87,2016-07-13 15:00
大寮,高雄市,21,,良好,3.7,0.06,24,16,5,1.9,2.4,225,1,3.68,1.78,2016-07-13 15:00
小港,高雄市,36,,良好,7,0.11,19,41,5,8.8,2,219,1,15.55,6.74,2016-07-13 15:00
中山,臺北市,34,,良好,2.8,0.6,32,40,20,28,1.9,136,2,35.49,7.52,2016-07-13 15:00
中壢,桃園市,55,懸浮微粒,普通,,,24,54,7,,2.5,164,1,,,2016-07-13 15:00
仁武,高雄市,55,懸浮微粒,普通,3.2,0.16,22,42,18,9.9,3.5,203,1,15.68,5.75,2016-07-13 15:00
斗六,雲林縣,43,,良好,3.3,0.24,51,23,19,,3.5,236,1,,,2016-07-13 15:00
冬山,宜蘭縣,37,,良好,1.7,0.16,36,21,9,6.9,2,75,,10.35,3.46,2016-07-13 15:00
古亭,臺北市,34,,良好,,0.46,40,41,17,27,1.9,78,2,30.93,3.81,2016-07-13 15:00
左營,高雄市,34,,良好,1.7,0.15,25,32,16,4.2,3.5,197,2,6.48,2.28,2016-07-13 15:00
平鎮,桃園市,32,,良好,1.7,0.13,35,41,17,8.2,4.9,250,2,9.94,1.79,2016-07-13 15:00
永和,新北市,33,,良好,3.2,0.91,34,37,15,31,1.9,98,2,40.9,10.1,2016-07-13 15:00
安南,臺南市,24,,良好,0.9,0.11,29,23,19,1.7,5.2,225,2,2.77,1.09,2016-07-13 15:00
朴子,嘉義縣,41,,良好,2.2,0.19,38,45,8,4.4,4.7,232,1,6.35,1.92,2016-07-13 15:00
汐止,新北市,30,,良好,,,,,,,1.2,40,1,,,2016-07-13 15:00
竹山,南投縣,24,,良好,3.2,0.1,,,,3.5,3,261,1,4.23,.73,2016-07-13 15:00
竹東,新竹縣,34,,良好,1.9,0.12,41,30,9,4.2,4.7,241,1,5.71,1.55,2016-07-13 15:00
西屯,臺中市,31,,良好,2.6,0.11,37,31,8,5.9,3.3,260,1,7.59,1.65,2016-07-13 15:00
沙鹿,臺中市,26,,良好,2.1,0.14,31,27,11,6,4.5,241,1,8.22,2.26,2016-07-13 15:00
宜蘭,宜蘭縣,38,,良好,3.8,0.2,46,36,11,2.9,3,119,1,3.8,.88,2016-07-13 15:00
忠明,臺中市,24,,良好,2.2,0.16,28,16,10,8.2,2.6,252,1,11.8,3.57,2016-07-13 15:00
松山,臺北市,35,,良好,3.3,0.31,42,37,14,17,2,65,2,20.07,2.8,2016-07-13 15:00
板橋,新北市,40,,良好,4.2,0.2,48,43,15,10,3.2,246,2,11.38,1.37,2016-07-13 15:00
林口,新北市,35,,良好,,,,,,,,,2,,,2016-07-13 15:00
林園,高雄市,30,,良好,,0.04,24,21,7,3,1.7,148,1,5.75,2.72,2016-07-13 15:00
花蓮,花蓮縣,41,,良好,3.1,0.16,42,37,11,6.5,2.1,79,1,9.54,3.09,2016-07-13 15:00
金門,金門縣,32,,良好,3,0.1,39,29,10,3.6,4.9,187,1,5.66,2.02,2016-07-13 15:00
前金,高雄市,39,,良好,,,22,39,14,,2.5,218,2,,,2016-07-13 15:00
前鎮,高雄市,25,,良好,3.4,0.1,22,29,15,6.1,2.3,146,1,10.27,4.19,2016-07-13 15:00
南投,南投縣,27,,良好,1.5,0.08,32,22,10,,3.1,240,1,,,2016-07-13 15:00
屏東,屏東縣,28,,良好,0.6,0.21,34,31,10,6.2,2.9,209,1,7.83,1.65,2016-07-13 15:00
恆春,屏東縣,35,,良好,0.9,0.06,27,35,3,0.9,6.3,232,1,3.29,2.39,2016-07-13 15:00
美濃,高雄市,42,,良好,3.3,0.13,50,21,10,3,4.1,222,1,4.46,1.44,2016-07-13 15:00
苗栗,苗栗縣,31,,良好,1.5,0.12,28,28,19,4,3.1,233,2,6.28,2.28,2016-07-13 15:00
埔里,南投縣,39,,良好,0.8,0.12,47,20,10,3.7,4,313,1,5.37,1.66,2016-07-13 15:00
桃園,桃園市,37,,良好,4.8,0.24,44,32,10,10,2.4,251,2,12.58,2.1,2016-07-13 15:00
馬公,澎湖縣,32,,良好,2.2,0.18,38,21,8,6.7,5.7,165,1,9.59,2.93,2016-07-13 15:00
馬祖,連江縣,29,,良好,2.1,0.08,35,22,7,1.3,6,202,1,2.23,.92,2016-07-13 15:00
基隆,基隆市,58,臭氧,普通,2.4,0.17,69,20,15,3.6,1.1,101,1,4.69,1.05,2016-07-13 15:00
崙背,雲林縣,44,,良好,2.1,0.12,53,22,9,3.3,5.4,213,1,5.12,1.81,2016-07-13 15:00
淡水,新北市,41,,良好,3.4,0.08,42,45,17,7,,,2,8.77,1.73,2016-07-13 15:00
麥寮,雲林縣,44,,良好,1.6,0.12,53,44,10,2.6,5.9,229,1,4,1.41,2016-07-13 15:00
善化,臺南市,39,,良好,3,0.15,46,24,18,9,5.4,205,2,10.59,1.61,2016-07-13 15:00
復興,高雄市,22,,良好,3.4,0.13,22,26,6,5.6,1.4,265,1,8.17,2.53,2016-07-13 15:00
湖口,新竹縣,0,,,1.3,0.07,29,35,13,0.6,7.1,246,1,2.03,1.45,2016-07-13 15:00
菜寮,新北市,40,,良好,2.8,0.27,39,46,14,13,4.3,287,2,16.61,3.44,2016-07-13 15:00
