SiteName,MonitorDate,Concentration,ItemUnit
馬公,2016-05-24,13,μg/m3
金門,2016-05-24,24,μg/m3
馬祖,2016-05-24,37,μg/m3
宜蘭,2016-05-24,11,μg/m3
陽明,2016-05-24,3,μg/m3
花蓮,2016-05-24,7,μg/m3
臺東,2016-05-24,4,μg/m3
恆春,2016-05-24,7,μg/m3
屏東,2016-05-24,12,μg/m3
前金,2016-05-24,12,μg/m3
美濃,2016-05-24,9,μg/m3
臺南,2016-05-24,10,μg/m3
新營,2016-05-24,10,μg/m3
嘉義,2016-05-24,10,μg/m3
朴子,2016-05-24,10,μg/m3
斗六,2016-05-24,13,μg/m3
南投,2016-05-24,20,μg/m3
彰化,2016-05-24,13,μg/m3
忠明,2016-05-24,14,μg/m3
豐原,2016-05-24,15,μg/m3
三義,2016-05-24,15,μg/m3
苗栗,2016-05-24,14,μg/m3
新竹,2016-05-24,14,μg/m3
竹東,2016-05-24,12,μg/m3
平鎮,2016-05-24,16,μg/m3
桃園,2016-05-24,16,μg/m3
萬華,2016-05-24,16,μg/m3
士林,2016-05-24,11,μg/m3
板橋,2016-05-24,15,μg/m3
汐止,2016-05-24,13,μg/m3
基隆,2016-05-24,11,μg/m3
馬公,2016-05-21,18,μg/m3
金門,2016-05-21,42,μg/m3
馬祖,2016-05-21,13,μg/m3
宜蘭,2016-05-21,20,μg/m3
陽明,2016-05-21,12,μg/m3
花蓮,2016-05-21,12,μg/m3
臺東,2016-05-21,10,μg/m3
恆春,2016-05-21,9,μg/m3
屏東,2016-05-21,35,μg/m3
前金,2016-05-21,41,μg/m3
美濃,2016-05-21,30,μg/m3
臺南,2016-05-21,48,μg/m3
新營,2016-05-21,48,μg/m3
嘉義,2016-05-21,67,μg/m3
朴子,2016-05-21,57,μg/m3
斗六,2016-05-21,60,μg/m3
南投,2016-05-21,53,μg/m3
彰化,2016-05-21,73,μg/m3
忠明,2016-05-21,64,μg/m3
豐原,2016-05-21,40,μg/m3
三義,2016-05-21,34,μg/m3
苗栗,2016-05-21,31,μg/m3
新竹,2016-05-21,32,μg/m3
竹東,2016-05-21,32,μg/m3
平鎮,2016-05-21,33,μg/m3
桃園,2016-05-21,31,μg/m3
萬華,2016-05-21,28,μg/m3
士林,2016-05-21,24,μg/m3
板橋,2016-05-21,,μg/m3
汐止,2016-05-21,26,μg/m3
基隆,2016-05-21,22,μg/m3
馬公,2016-05-18,17,μg/m3
金門,2016-05-18,24,μg/m3
馬祖,2016-05-18,20,μg/m3
宜蘭,2016-05-18,13,μg/m3
陽明,2016-05-18,7,μg/m3
花蓮,2016-05-18,11,μg/m3
臺東,2016-05-18,7,μg/m3
恆春,2016-05-18,9,μg/m3
屏東,2016-05-18,,μg/m3
前金,2016-05-18,26,μg/m3
美濃,2016-05-18,26,μg/m3
臺南,2016-05-18,27,μg/m3
新營,2016-05-18,25,μg/m3
嘉義,2016-05-18,28,μg/m3
朴子,2016-05-18,22,μg/m3
斗六,2016-05-18,27,μg/m3
南投,2016-05-18,24,μg/m3
彰化,2016-05-18,18,μg/m3
忠明,2016-05-18,19,μg/m3
豐原,2016-05-18,19,μg/m3
三義,2016-05-18,17,μg/m3
苗栗,2016-05-18,,μg/m3
新竹,2016-05-18,17,μg/m3
竹東,2016-05-18,16,μg/m3
平鎮,2016-05-18,17,μg/m3
桃園,2016-05-18,17,μg/m3
萬華,2016-05-18,16,μg/m3
士林,2016-05-18,16,μg/m3
板橋,2016-05-18,16,μg/m3
汐止,2016-05-18,16,μg/m3
