"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00402546","榮發興業股份有限公司","基隆市仁愛區孝三路65巷21號2樓","陳永盛","5000000","1050225"
"2","00842283","龍鋒報關有限公司","基隆市安樂區孝三路79巷19號2樓","翁文超","5000000","1050224"
"3","00849011","國選機械工程有限公司","基隆市中山區中和里中平街69號","劉文選","3000000","1050225"
"4","01071848","欣聯害蟲防治系統有限公司","新北市永和區豫溪街165號","胡家祥","7000000","1050226"
"5","01128814","興偉五金有限公司","臺北市大同區環河北路2段107號1樓","高美華","10000000","1050225"
"6","01187550","利潔時股份有限公司","臺北市大安區仁愛路3段136號6樓","區志輝(Au Alfred Chifay)","2500000","1050218"
"7","01406056","蒙恬實業股份有限公司","臺北市內湖區成功路2段8號2樓","林澤顯","28000000","1050219"
"8","01408977","欣嶸企業有限公司","臺北市萬華區中華路2段150巷67號3樓","涂海湖","2000000","1050223"
"9","01515462","寬友股份有限公司","臺北市內湖區陽光街345巷16號2樓","李光復","36000000","1050203"
"10","01517124","國眾電腦股份有限公司","臺北市內湖區陽光街298號3樓","王超群","859001230","1050222"
"11","01518910","慶美興業股份有限公司","臺北市松山區南京東路3段303巷12號7樓","徐振聲","5000000","1050205"
"12","01633088","四宜企業有限公司","臺北市信義區信義路5段5號","蔡佩玲","10000000","1050215"
"13","01633708","中研有限公司","臺北市內湖區安康路228巷5號2樓","陳天賜","5000000","1050223"
"14","01859037","福泰建設有限公司","新北市汐止區瑞松街194巷11號","許秀葉","30000000","1050217"
"15","01861358","杉樹股份有限公司","新北市土城區復興街11號","洪杉發","5000000","1050217"
"16","01884373","臺灣熱泵能源科技有限公司","新北市汐止區明峰街297巷8號5樓","王玉霞","10000000","1050223"
"17","01983113","洙桐企業有限公司","新北市新莊區思源路419巷18號1樓","陳洙桐","10000000","1050201"
"18","02055901","鑫鎰機械工廠股份有限公司","基隆市七堵區大德路8號","蘇桂琴","12000000","1050225"
"19","02075630","鉦原工業有限公司","新北市新莊區化成路11巷100號","陳義鏞","5000000","1050201"
"20","02076764","高惠工業股份有限公司","新北市三重區重新路5段636號","吳水田","45000000","1050217"
"21","02626542","添信五金有限公司","桃園市蘆竹區南崁里新南路一段106號","洪添丁","4000000","1050226"
"22","02626992","楷瑞科技印刷股份有限公司","桃園市桃園區汴洲里春日路1414巷13號1樓","江秀雲","5000000","1050203"
"23","02849678","晁瑋企業有限公司","新竹市香山區東香里芝柏1街161號","廖清和","16000000","1050205"
"24","03166335","百利康企業股份有限公司","臺北市中正區懷寧街30、32號1樓","洪嘉宏","85000000","1050217"
"25","03184018","光陽電子股份有限公司","新北市新莊區化成路113巷17號1樓","湯鍾彌菊","10000000","1050218"
"26","03209904","利漢貿易股份有限公司","臺北市中正區信義路2段251號9樓","丘依文","10000000","1050224"
"27","03244509","亞洲水泥股份有限公司","臺北市大安區敦化南路2段207號30、31樓","徐旭東","33614471980","1050226"
"28","03251000","和泰興業股份有限公司","臺北市內湖區新湖一路36巷18號1至7樓","蘇一仲","492000000","1050224"
"29","03283306","厚生股份有限公司","臺北市中正區漢口街1段82號8樓","徐正材","4904684320","1050218"
