"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
1,"04263454","佑林產業股份有限公司","臺北市大同區承德路2段12號12樓之2","",5000000,"0650323","1050127"
2,"04426817","瑞堂文具印刷有限公司","臺北市中山區渭水路48之1號1樓","",6000000,"0630820","1050113"
3,"04429080","普達貿易股份有限公司","新北市中和區中山路2段122號8樓之4","",7000000,"0630910","1050112"
4,"04518724","華產興有限公司","臺北市大同區太原路97巷5號2樓","",3600000,"0620620","1050106"
5,"04534864","弘美貿易有限公司","臺北市松山區南京東路4段51-2號6樓","",5000000,"0621218","1050106"
6,"04802571","齊麗企業有限公司","臺北市信義區基隆路1段149號6樓","",5000000,"0690114","1050128"
7,"04923483","中外運動器材股份有限公司","臺北市信義區忠孝東路5段699號2樓","",24000000,"0620430","1050105"
8,"05061785","記福國際貿易有限公司","新北市新店區竹林路30巷8號(1樓)","",1000000,"0681101","1050111"
9,"05068990","嚮名企業有限公司","臺北市大同區延平北路2段4-1號","",2000000,"0690419","1050118"
10,"05506582","上毅企業有限公司","臺北市文山區景興路15號2樓","",8000000,"0730725","1050104"
11,"05630647","紅茂企業有限公司","臺北市大安區金華街48巷7號2樓","",5000000,"0730521","1050105"
12,"06810941","江友企業有限公司","高雄市左營區新中里重偉街23號1樓","",10000000,"0741004","1050105"
13,"09458984","正純實業有限公司","臺北市大安區仁愛路3段29號8樓之1","",5800000,"0731019","1050113"
14,"12105134","錦慎有限公司","臺北市中山區長春路26號6樓之7","",2000000,"0760124","1050129"
15,"12151946","正興保溫工程有限公司","彰化縣溪湖鎮大突里大公路347號","",5000000,"0661130","1050107"
16,"12171366","昌池企業有限公司","臺北市中山區民權東路3段142號6樓之2","",10000000,"0670516","1050114"
17,"12236332","聯耀航運有限公司","臺北市松山區八德路4段135號7樓之2","",7500000,"0680626","1050112"
18,"12244699","瑞城興業有限公司","臺北市中山區建國北路2段89號7樓之2","",5000000,"0680914","1050114"
19,"12381546","兄帝行有限公司","臺北市中山區林森北路50號3樓之2","",1000000,"0710515","1050128"
20,"12404061","象國貿易有限公司","臺北市中山區建國北路2段116巷7號1樓","",6000000,"0711008","1050125"
21,"12564622","國瑞事務機器有限公司","臺北市松山區健康路166號3樓","",1000000,"0740720","1050120"
22,"12602673","幸林資訊有限公司","桃園市大溪區仁善里埔頂路二段31巷48弄7號3樓","",2550000,"0890819","1050104"
