"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
1,"24803578","香港商歐迪芬控股有限公司","臺中市西屯區臺灣大道4段925號7樓之5","余振球",0,"1050113"
2,"24804540","英屬維京群島商夢寶睡眠王國有限公司","嘉義縣民雄鄉工業五路1之2號","李珮琳",2000000,"1050105"
3,"24804598","香港商檸檬設計股份有限公司","臺北市萬華區成都路4號6樓","游建邦",800000,"1050107"
4,"24804605","香港商景安貿易有限公司","臺北市中正區和平東路3段63號8樓","陳明輝",500000,"1041231"
5,"24804611","香港商我愛遊戲有限公司","臺北市大安區忠孝東路4段142號3樓之3","姚澤鉅",200000,"1041231"
6,"24804627","南非商格瑞納契訓練及顧問有限公司","臺中市南屯區五權西路2段666號13樓之3","安大尉",0,"1050105"
7,"24804648","薩摩亞商超強科技有限公司","臺北市大安區敦化南路1段205號7樓之5","郭益宏",5000000,"1041231"
8,"24804653","大陸商歌紐世國際貿易有限公司","高雄市左營區崇德路10號13樓","沈志東",0,"1050118"
9,"24804675","日商日鐵住金綜合工程股份有限公司","高雄市苓雅區四維四路7號18樓","內野 悟",0,"1050104"
10,"24804680","新加坡商諦刻有限公司","臺北市大安區忠孝東路3段136號11樓之3","杉島潤",930000,"1050104"
11,"24804719","英屬維京群島商韓台批發有限公司","臺北市內湖區瑞光路548巷41弄1號及基湖路35巷20號、22號","王偉新",25000000,"1050104"
12,"24804725","德商麥布捷科技有限公司","新竹市東大路2段76號11樓","麥可布魯諾約瑟夫",0,"1050104"
13,"24804730","英屬維京群島商華霆管理股份有限公司","高雄市前鎮區漁港北一路8號","陳米琪",0,"1050104"
14,"24804746","香港商硅步國際有限公司","臺北市中山區南京東路2段101號11樓","賴玉樹",0,"1050104"
15,"24804751","美商鬼島工作室有限公司","臺北市士林區重慶北路4段251號7樓","余政彥",500000,"1050105"
16,"24804817","美商寶蘊凌科網路科技有限公司","臺北市松山區中崙里八德路2段374號6樓之8","謝源寶",3000000,"1050105"
17,"24804823","香港商普信國際財務顧問有限公司","臺北市中正區重慶南路1段83號6樓","鄭祺瞱",3500000,"1050107"
18,"24804865","香港商巨角有限公司","臺北市信義區基隆路1段155號7樓","簡恒敬",500000,"1050107"
19,"24804871","香港商捌捌盒子有限公司","臺北市南港區忠孝東路6段467號2樓","許華珍",500000,"1050106"
20,"24804915","日商奧利恩啤酒股份有限公司","臺北市大同區南京西路41號6樓之8","仲村將要",0,"1050106"
21,"24804921","香港商爵建室內設計有限公司","臺北市中正區和平西路1段66號12樓","孫建安",400000,"1050107"
22,"24804936","日商傑益而股份有限公司","新竹縣竹北市泰和路21號","金田恒幸",0,"1050107"
23,"24804957","香港商金通策略有限公司","臺北市大安區忠孝東路4段319號10樓之2","劉心平",0,"1050107"
24,"24804984","大陸商浙江國祥空調股份有限公司","臺北市大安區光復南路102號","黃一昌",0,"1050115"
25,"24805007","大陸商上海博凱機械有限公司","臺北市大安區忠孝東路4段216巷16號4樓之6","陳聰勇",10000000,"1050114"
26,"24805013","貝里斯商麥飛特科技有限公司","臺北市松山區復興北路167號7樓之1","王景文",28000000,"1050108"
27,"24805034","美商紙研有限公司","臺中市西屯區西屯路3段166-100號18樓之1","王忠偉",0,"1050108"
28,"24805077","新加坡商吉富國際地產有限公司","臺北市大安區復興南路1段368號11樓","趙俊凱",1000000,"1050112"
29,"24805082","韓商濟州航空股份有限公司","臺北市中山區南京東路2段97號11樓","朱祥皓",280000,"1050111"
30,"24805098","聚信香港國際有限公司","金門縣烈嶼鄉西口村東坑5號","呂俊龍",200000,"1050112"
31,"24805105","禹興船運股份有限公司","金門縣金城鎮北門里民生路43號6樓","洪晨淯",3000000,"1050112"
32,"24805111","薩摩亞商財富亞洲國際股份有限公司","臺北市大安區信義路3段149號4樓之1","黃沛聲",330000,"1050112"
33,"24805127","群益創業投資股份有限公司","臺北市信義區松仁路97號13樓","王濬智",1000000000,"1050112"
34,"24805148","塞席爾商源匯國際有限公司","新北市中和區永和路335號4樓","施劭亷",1000000,"1050112"
35,"24805153","新加坡商雷卡多有限公司","臺北市中正區忠孝西路1段66號28樓","鈕邁可",5000000,"1050112"
36,"24805169","塞席爾商奧瑞恩有限公司","臺北市中正區和平西路1段66號12樓","芮金",0,"1050112"
37,"24805196","英商奇望有限公司","臺北市松山區敦化北路170號3樓","Paul Bradley Shinn",1200000,"1050112"
38,"24805203","百世多麗投資開發股份有限公司","臺北市大安區復興南路2段237號12樓之3","藍俊昇",500000000,"1050112"
39,"24805219","香港商麗珅投資資產管理顧問有限公司","臺北市信義區松智路30號","林麗珍",0,"1050112"
40,"24805230","香港商高皆有限公司","新北市汐止區連興街40號13樓","陳增鴻",1000000,"1050115"
41,"24805251","英屬安圭拉商利威國際股份有限公司","臺北市內湖區瑞光路607號4樓","朱威陵",0,"1050113"
42,"24805267","日商若井股份有限公司","高雄市苓雅區三多四路63號7樓之8","林霈璉",0,"1050114"
43,"24805288","香港商光華產業有限公司","臺北市大安區敦化南路2段59號9樓之2","王賛煜",0,"1050115"
44,"24805294","美商銳哲有限公司","新北市林口區湖南里文化三路2段115巷48號1樓","陳維彬",0,"1050113"
45,"24805301","香港商創動有限公司","臺北市中正區濟南路2段15號3樓之1","蔡建毅",100000,"1050114"
46,"24805317","大陸商深圳市博恩實業有限公司","新北市新莊區中央路212號21樓","蘇家弘",0,"1050115"
47,"24805323","英屬維京群島商新相科技有限公司","新竹縣竹北市台元街32號3樓之3","鄭世雄",10000000,"1050114"
48,"24805359","加拿大商摩迅有限公司","臺中市大雅區中山三路62號","Luc Hénault",989100,"1050114"
49,"24805436","英商浩銳科技顧問有限公司","臺北市信義區基隆路1段432號11樓","楊徵御",0,"1050114"
