路線　,平均下載速率註,平均上傳速率註,階段
新北市,3.72,0.97,一
台南市,3.8,1.05,一
宜蘭縣,3.65,0.94,一
新竹市,4.11,1.03,一
南投縣,3.3,0.76,一
彰化縣,3.91,0.92,一
雲林縣,3.96,0.98,一
嘉義縣,3.34,0.87,一
台東縣,3.46,0.83,一
花蓮縣,3.85,0.93,一
澎湖縣,4.96,1.07,一
連江縣,4.22,0.69,一
台北市,3.58,0.88,二
台中市,3.66,0.94,二
高雄市,4.47,1.19,二
基隆市,4.21,0.91,二
桃園縣,3.33,0.87,二
新竹縣,2.7,0.74,二
苗栗縣,3.16,0.78,二
嘉義市,4.6,1.1,二
屏東縣,4.27,1.05,二
金門縣,4.82,0.94,二
國道1號,3.52,0.95,一
國道2號,3.71,0.93,一
國道3號,4.24,1,一
國道3甲,5.33,1.15,一
國道4號,3.59,0.88,一
國道5號,4.96,1.05,一
國道6號,6.36,1.13,一
國道8號,2.74,0.89,一
國道10號,3.87,1.03,一
台61,3.55,0.9,一
台62,4.95,0.94,一
台64,3.03,0.83,一
台65,2.41,0.8,一
台66,2.21,0.83,一
台68,3.7,0.98,一
台72,3.35,1.01,一
台74,3.28,0.85,一
台76,4.42,0.97,一
台78,3.06,0.92,一
台82,3.33,0.95,一
台84,4.08,1.02,一
台86,3.14,1.04,一
台88,3.41,0.93,一
高鐵,1.4,0.38,一
高雄捷運,6.25,1.01,一
台鐵,2.67,0.61,二
台北捷運,5.02,0.73,二
