區域,量測點,平均下載速率註,平均上傳速率註,階段
宜蘭縣,,,,
三星鄉,天送埤火車站大廳,2.02,1.11,一
三星鄉,青蔥文化館大門,4,1.19,一
三星鄉,陳定南紀念館大門口,1.41,0.78,一
大同鄉,明池森林遊樂園,2.69,1.13,一
,(停車場),,,
大同鄉,棲蘭森林遊樂園停車場,5.02,0.94,一
大同鄉,鳩之澤溫泉,4.68,0.99,一
五結鄉,國立傳統藝術中心大廳,7.76,1.15,一
五結鄉,五結喜互惠超市,7.64,1.55,一
五結鄉,冬山河親水公園,9.54,1.58,一
冬山鄉,冬山火車站大廳,3.96,1.25,一
冬山鄉,梅花湖風景區,2.37,1.08,一
冬山鄉,新寮瀑布入口,3.78,1.02,一
壯圍鄉,壯圍鄉公所大門口,8.89,1.41,一
壯圍鄉,大福補天宮前廣場,5.74,1.35,一
壯圍鄉,永鎮開漳聖王廟前廣場,8.96,1.51,一
宜蘭市,宜蘭火車站大廳,8.68,1.07,一
宜蘭市,宜蘭東門夜市,8.13,1.38,一
宜蘭市,新月廣場美食街,11.16,1.52,一
南澳鄉,東澳火車站大廳,2.31,1.17,一
南澳鄉,南澳火車站大廳,3.04,1.28,一
南澳鄉,莎韻之鍾涼亭,4.35,1.34,一
員山鄉,天雕公園,6.32,1.22,一
員山鄉,金車酒廠,7.03,1.2,一
員山鄉,員山公園,5.77,1.25,一
頭城鎮,外澳海水浴場,5.79,1.32,一
頭城鎮,頭城火車站大廳,2.44,0.9,一
頭城鎮,頭城鎮公所大門,4.94,1.18,一
礁溪鄉,礁溪火車站大廳,7.12,1.49,一
礁溪鄉,湯圍溝公園,7.43,1.46,一
礁溪鄉,礁溪老爺酒店大廳,5.34,1.4,一
羅東鎮,文化工場,7.01,1.41,一
羅東鎮,羅東夜市,7.16,1.39,一
羅東鎮,羅東運動公園,7.88,1.27,一
蘇澳鎮,豆腐岬風景區大門口,4.03,1.14,一
蘇澳鎮,武荖坑風景區大門口,10.4,1.06,一
蘇澳鎮,蘇澳冷泉,6.76,1.41,一
新北市,,,,
八里區,十三行博物館售票口,4.2,0.85,一
八里區,八仙樂園大門入口處,2.59,1.04,一
八里區,八里文化公園,3.96,1.37,一
三芝區,三芝區公所大門口,5.07,1.4,一
三芝區,三芝遊客中心大門口,4.62,1.06,一
三芝區,三芝馬偕醫學院大門口,3.91,1.09,一
三重區,三重先嗇宮廟口,4.79,1.33,一
三重區,三重天台廣場大門口,5.03,1.37,一
三重區,三重家樂福美食街,6.44,1.37,一
三峽區,新北市立,8.07,1.4,一
,客家文化園區入口處,,,
三峽區,山峽老街,10.25,1.48,一
三峽區,山峽黃昏市場,5.85,1.35,一
三峽區,財團法人恩主公,5.35,1.39,一
,醫院大廳,,,
土城區,捷運海山站入口處,4.74,1.54,一
土城區,金城路廣川醫院大廳,8.36,1.61,一
土城區,土城迪士尼廣場大門口,4.4,1.49,一
中和區,中和烘爐地停車場,7.09,1.43,一
中和區,中和威力廣場,6.26,1.52,一
中和區,中和,2.16,0.85,一
,環球購物中心美食街,,,
五股區,五股工商展覽館大廳,6.55,1.29,一
五股區,觀音山遊客,5.4,0.98,一
,活動中心廣場,,,
五股區,五股麥當勞用餐區,5.99,1.04,一
平溪區,十分老街靜安吊橋,7.63,0.93,一
平溪區,平溪老街瑞安診所,6.71,1.39,一
平溪區,嶺腳瀑布觀景亭,3.07,0.81,一
永和區,捷運頂溪站,4.15,0.83,一
永和區,永和樂華夜市,4.05,1.1,一
永和區,雙和路好樂迪KTV,3.24,1.12,一
石門區,石門區公所大門,7.08,1.36,一
石門區,十八王公廟前廣場,5.28,1.27,一
石門區,老梅公園,4.16,1.01,一
石碇區,石碇鄉公所大門口,8.77,1.53,一
石碇區,石碇千島湖觀景台,2.87,0.72,一
石碇區,石碇華梵大學大門口,5.74,1.08,一
汐止區,汐止火車站售票大廳,3.34,1.01,一
汐止區,大尖山天秀宮前廣場,0.3,0.42,一
汐止區,好市多入口處,2.23,0.82,一
坪林區,坪林親水吊橋,8.74,1.53,一
