"lineid","car","time","location"
"220029","287-VK","2016/08/18 15:29:44","新北市板橋區僑中二街156號附近"
"238009","312-TH","2016/08/18 15:29:47","新北市樹林區和平街31號附近"
"238002","755-BX","2016/08/18 15:29:45","新北市樹林區復興路227號附近"
"238008","311-TH","2016/08/18 15:29:50","新北市樹林區西圳街一段140號附近"
"238001","282-BY","2016/08/18 15:29:40","新北市樹林區大安路151號附近"
"238012","303-VK","2016/08/18 15:29:32","新北市樹林區保安二街12號附近"
"238005","571-TV","2016/08/18 15:29:44","新北市樹林區樹新路197號附近"
"238011","5061-A6","2016/08/18 15:29:41","新北市樹林區太平路1-7號附近"
"238007","268-VK","2016/08/18 15:29:38","新北市樹林區俊英街80號附近"
"238013","172-UY","2016/08/18 15:29:37","新北市樹林區味王街46巷34號附近"
"238006","599-UM","2016/08/18 15:29:50","新北市樹林區太平路65號附近"
"238004","283-BY","2016/08/18 15:29:47","新北市樹林區保安街二段179-1號附近"
"238010","601-UM","2016/08/18 15:29:41","新北市樹林區中正路433號附近"
"238003","169-UY","2016/08/18 15:29:39","新北市樹林區中山路一段175號附近"
"220031","277-BY","2016/08/18 15:29:33","新北市板橋區僑中二街102巷25-4號附近"
