"ID","AVAILABLECAR"
"010001","17"
"010002","-9"
"010003","-9"
"010004","24"
"010008","-9"
"010009","13"
"010010","11"
"010011","0"
"010013","124"
"010014","9"
"010015","12"
"010016","33"
"010018","72"
"010020","47"
"010021","24"
"010022","10"
"010022","10"
"010024","53"
"010028","-9"
"010029","13"
"010031","214"
"010033","4"
"010034","-9"
"010036","41"
"010038","14"
"010039","45"
"010040","27"
"010040","27"
"010041","-9"
"010042","-9"
"010043","8"
"010044","13"
"010044","13"
"010045","18"
"010046","35"
"010049","-9"
"010050","-9"
"010053","-9"
"010054","-9"
"010056","-9"
"010059","-9"
"010064","-9"
"010065","-9"
"010068","-9"
"010069","-9"
"010070","-9"
"010072","-9"
"010075","-9"
"010077","-9"
"010079","-9"
"010082","-9"
"010083","-9"
"010085","25"
"010086","-9"
"010087","-9"
"010088","-9"
"010089","220"
"010090","-9"
"010091","-9"
"010092","-9"
"010093","-9"
"010095","-9"
"010096","-9"
"010097","-9"
"010103","19"
"010104","8"
"010108","4"
"010109","-9"
"010110","21"
"010112","-9"
"010114","-9"
"010115","-9"
"010116","-9"
"010116","-9"
"010117","-9"
"010120","-9"
"010121","-9"
"010122","-9"
"010123","42"
"010124","-9"
"010124","-9"
"010125","0"
"010126","-9"
"010127","-9"
"010128","-9"
"010129","-9"
"010130","-9"
"010131","110"
"010132","-9"
"010134","-9"
"010135","-9"
"010136","-9"
"010137","-9"
"010138","-9"
"010139","0"
"010140","12"
"010141","-9"
"010142","-9"
"010143","-9"
"010144","-9"
"010145","-9"
"010146","28"
"010147","-9"
"010148","-9"
"010149","79"
"010150","-9"
"010151","-9"
"010152","-9"
"020001","21"
"020002","0"
"020004","56"
"020005","28"
"020006","31"
"020007","55"
"020008","79"
"020009","92"
"020010","-9"
"020011","11"
"020014","4"
"020016","103"
"020017","-9"
"020018","-9"
"020018","-9"
"020019","-9"
"020020","14"
"020021","42"
"020023","-9"
"020024","-9"
"020025","-9"
"020026","-9"
"020026","-9"
"020027","-9"
"020029","-9"
"020034","-9"
"020035","-9"
"020036","91"
"020037","-9"
"020038","0"
"020039","-9"
"020043","-9"
"020044","-9"
"020049","-9"
"020051","-9"
"020052","-9"
"020053","-9"
"020055","-9"
"020056","-9"
"020057","-9"
"020058","10"
"020059","-9"
"020060","-9"
"020061","-9"
"020065","-9"
"020067","-9"
"020068","-9"
"020071","-9"
"020072","21"
"020073","45"
"020074","-9"
"020079","-9"
"020082","-9"
"020082","-9"
"020085","-9"
"020086","-9"
"020087","-9"
"020091","-9"
"020092","-9"
"020095","-9"
"020096","-9"
"020097","-9"
"020100","-9"
"020100","-9"
"020102","341"
"020104","-9"
"020105","-9"
"020106","-9"
"020107","-9"
"020108","-9"
"020108","-9"
"020109","39"
"020110","-9"
"020112","-9"
"020113","10"
"020114","-9"
"020115","-9"
"020116","-9"
"020117","-9"
"020118","-9"
"030001","-9"
"030003","150"
"030004","2"
"030004","2"
"030004","2"
