停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
【停水區域一】苗栗縣頭份鎮濫坑里 金印山莊地區  (預計施工期4~5個月)建請裝置加壓馬達用水,2016/03/25 19:0至2016/08/31 19:0,2016/3/25至2016/8/31每日下午 07:00以後,623500   628000,2016/3/25~2016/9/1,351苗栗縣頭份鎮     
,,,04-7353883,2016/7/4~2016/10/1,
【停水區域一】台中市西屯區詳如停水公告;範圍 : 重慶路(台灣大道二段以東、華美西街二段以西、文心路以南、漢口路二段以北);里別 :  (何源里、何福里、何德里、何仁里、何安里、何厝里)。;路名 : ;成都路(全部)，重慶路(部份)，河南路(文心路至漢口路)，寧夏路(文心路至漢口路)，華美西街二段(文心路至太原路)，內江街(全部)，合江街(全部)，內江街(全部) ，漢城街(全部)，永昌街(全部)，河南東街(全部)，寧夏東街(部份)，寧夏西街(部份) ，何安巷(全部)，銀聯巷(全部)，青海路(文心至漢口)，四川路(全部)，四川街(全部)，四川東街(全部)，,2016/07/24 8:0至2016/08/23 17:0,2016/08/23 17:0(每日上午8點至下午5點),04-22452143,2016/7/12~2016/8/24,407台中市西屯區     
【停水區域一】桃園市大溪區桃54線瑞德街,2016/07/15 9:0至2016/08/23 16:0,2016/08/23 16:0(每日AM09:00至PM04:00。),免付費服務電話：1910   龍潭給水廠:03-4712002    大溪服務所:03-4711836,2016/7/12~2016/8/24,335桃園市大溪區     
【停水區域一】南投縣集集鎮八張里;永昌里;吳厝里,2016/07/14 8:0至2016/09/30 18:0,2016/09/30 18:0(8:00至18:00),049-2762076,2016/7/13~2016/10/1,552南投縣集集鎮     
【停水區域一】台中市北屯區清水巷(東山路-清水巷22號),2016/07/18 8:30至2016/08/18 18:30,2016/08/18 18:30(每日上午8點30至下午6點30),1910.22442469,2016/7/15~2016/8/19,406台中市北屯區     
【停水區域一】台中市烏日區九德里;興祥街以東、環中路以西、中山路一段以北、建國路以南包圍範圍內（興祥街雙號側及其巷弄、長春街40至300號間及其巷弄、中山路一段雙號側2至380號間及其巷弄、中華路2至410號間及其巷弄、九德街全線含巷弄、興德街、環中路六段)。(非整日停水，僅幹管改接及用戶施作需停水),2016/07/18 9:0至2016/08/31 19:0,2016/08/31 19:0(每日上午9點至下午7點),04-23381614,2016/7/18~2016/9/1,414台中市烏日區     
【停水區域一】南投縣魚池鄉大林村、共和村,2016/04/08 9:0至2016/10/31 18:0,2016/10/31 18:0(每日上午9點至下午6點(假日採不停水施工，水壓可能略有降低)),049-2915176,2016/7/20~2016/11/1,555南投縣魚池鄉     
【停水區域一】台中市西屯區華美西街二段;文心路三段;漢口路二段;甘肅路一段;寧夏西七街;寧夏西四街;寧夏西三街;寧夏西一街;寧夏西二街;寧夏路;寧夏路96巷;寧夏路89巷;寧夏東八街;寧夏東七街;寧夏東六街;寧夏東五街;寧夏東四街;寧夏東三街;寧夏東一街;寧夏東二街;寧夏東二街51巷;漢成街;漢成一街;漢成一街29巷;漢成四街;漢成三街;漢成二街;漢成五街;漢成六街;漢成七街;漢成一街29巷;成都路;成都路115巷;成都路131巷;漢口路二段225巷;永昌街;永昌三街;永昌二街;永昌一街;永昌街18巷;永昌二街58巷;永昌二街80巷;河南路一段;河南東五街;河南東三街;河南東二街;河南東一街;河南東一街46巷;河南東四街;重慶路;成都路;合江街;內江街;內江街63巷;甘肅路一段206巷;大信街,2016/07/26 8:30至2016/08/25 18:30,2016/08/25 18:30(每日上午8點30分至下午6點 30分),1910;04-22442469,2016/7/20~2016/8/26,407台中市西屯區     
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。;台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016/07/22 19:0至2016/08/31 23:0,2016/08/31 23:0(每日晚上7點至晚上11點),26312127,2016/7/22~2016/9/1,433台中市沙鹿區     434台中市龍井區     
