更新日期：2016/07/15
項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.01,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
="新山淨水場(Sinshan)基隆市麥金路720號",="0.77",="0.50",="<5",="<1",="46.1",="7.0",="21.9",="21.7",="ND",="ND",="1.54",="159",="0.04",="57.7",="<0.01",="ND",="<1",="<1",="0.0141",="0.00056",="ND",="ND",="ND",="0.00312",="ND",="0.00100",="0.00095",="ND",="ND",="0.0197",="0.00009",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0925",="ND",="Y",
="貢寮淨水場(Gongliau)新北市貢寮區下雙溪街20號",="0.70",="0.50",="<5",="<1",="22.4",="7.2",="16.9",="8.5",="ND",="ND",="0.68",="85.5",="0.02",="30.7",="0.07",="ND",="<1",="<1",="0.0171",="0.00354",="ND",="0.00051",="ND",="0.00302",="ND",="0.00077",="0.00181",="ND",="0.00001",="0.0315",="0.00002",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.111",="ND",="Y",
="板新淨水場(Bansin)新北市三峽區中山路551號",="0.74",="0.30",="<5",="<1",="49.8",="7.2",="10.4",="27.6",="0.03",="ND",="0.77",="137",="0.07",="75.3",="ND",="ND",="<1",="<1",="0.0112",="ND",="0.00103",="0.00023",="ND",="0.00615",="ND",="0.00039",="ND",="ND",="0.00013",="0.0135",="0.00023",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0678",="ND",="Y",
="員山淨水場(Yuanshan)新北市瑞芳區員山路19-1號",="0.69",="0.40",="<5",="<1",="26.2",="7.4",="14.4",="11.9",="ND",="ND",="1.04",="97.0",="0.03",="35.3",="0.01",="ND",="<1",="<1",="0.0222",="0.00088",="ND",="0.00056",="ND",="0.00194",="ND",="0.00062",="0.00086",="ND",="ND",="0.0161",="0.00002",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0993",="ND",="Y",
="平鎮淨水場(Pingjen)桃園市平鎮區南豐路267號",="0.66",="0.50",="<5",="<1",="59.8",="7.6",="2.7",="35.4",="0.02",="ND",="0.34",="121",="0.09",="99.1",="0.06",="ND",="<1",="<1",="0.00379",="0.00037",="0.00026",="0.00081",="ND",="0.00172",="ND",="0.00092",="0.00088",="ND",="ND",="0.00755",="0.00023",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.110",="ND",="Y",
="大湳淨水場(Danan)桃園市桃園區國際路一段485巷101號",="0.64",="0.35",="<5",="<1",="69.7",="7.6",="5.2",="33.2",="0.02",="ND",="0.41",="156",="0.07",="101",="ND",="ND",="<1",="<1",="0.00626",="ND",="0.00019",="0.00066",="ND",="0.00093",="ND",="ND",="0.00062",="ND",="ND",="0.00868",="0.00023",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00010",="ND",="ND",="ND",="ND",="ND",="0.110",="ND",="Y",
="石門淨水場(Shihmen)桃園市平鎮區水廠路150號",="0.72",="0.35",="<5",="<1",="65.3",="7.6",="3.6",="35.0",="ND",="ND",="0.41",="125",="0.08",="97.7",="0.03",="ND",="<1",="<1",="0.00641",="ND",="0.00024",="0.00082",="ND",="0.00118",="ND",="0.00056",="0.00101",="ND",="ND",="0.00711",="0.00020",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0889",="ND",="Y",
="龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號",="0.73",="0.80",="<5",="<1",="69.3",="7.6",="3.3",="33.3",="0.02",="ND",="0.90",="137",="0.08",="94.7",="0.03",="ND",="<1",="<1",="0.0114",="0.00060",="0.00027",="0.00097",="ND",="0.00084",="ND",="0.00045",="0.00101",="ND",="ND",="0.00873",="0.00019",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.136",="ND",="Y",
="新竹第一淨水場(Hsinchu First)新竹市博愛街1號",="0.71",="0.15",="<5",="<1",="107",="7.6",="7.6",="47.9",="0.04",="<0.01",="1.25",="208",="0.13",="155",="0.02",="ND",="1",="<1",="0.00497",="ND",="0.00103",="0.00015",="ND",="ND",="ND",="0.00181",="ND",="ND",="0.00019",="0.0164",="0.00023",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.135",="ND",="Y",
